"vocabulary"	"classes"	"tense"	"meaning"	"idiom"	"sentence"	"association"	"study_time"	"source"	"arrange_time"	"translate"	"num"	
"common"	"Adj"	"['kɔmәn]"	"happening often; existing in large numbers or in many places"		"Jackson is a common English name."	"ordinary, common, average"		"Wenchuan earthquake"		"普通的,"		
"magnitude"	"None"	"/ 'mægnitju:d /"	"the great size or importance of sth"		"We did not realize the magnitude of the problem."	"magnitude"		"Wenchuan earthquake"		"巨大, 量級"		
"earthquake"	"None"	"['ә:θkweik]"	"a sudden, violent shaking of the earth's surface:"		"damage caused by a powerful earthquake "	"earthquake, aftershock, foreshock"		"Wenchuan earthquake"		"地震"		
"aftershock"	"None"	"['ɑ:ftәʃɔk]"	"a small earthquake that happens after a bigger one"		"The area suffered a series of aftershocks measuring up to 6.3 on the Richter scale."	"earthquake, aftershock, foreshock"		"Wenchuan earthquake"		"餘震"		
"foreshock"	"None"	"['fɔ:ʃɔk]"	"A minor tremor of the earth that precedes a larger earthquake originating at approximately the same location."			"earthquake, aftershock, foreshock"		"Wenchuan earthquake"		"前震"		
"destruct"	"None"	"/ dis'trʌkʃәn /"	"the act of destroying sth; the process of being destroyed:"		"the destruction of the rainforests"	"destruct, destroy"		"Wenchuan earthquake"		"破壞, 毀滅"		
"destroy"	"Verb"	"[dis'trɔi]"	"o damage sth so badly that it no longer exists, works, etc"		"The building was completely destroyed by fire."	"destruct, destroy"		"Wenchuan earthquake"		"破壞"		
"injure"	"Verb"	"/ 'indʒә /"	"to harm yourself or sb else physically, especially in an accident"		"He injured his knee playing hockey."	"injure, offend, hurt, wound"		"Wenchuan earthquake"		"損害, 傷害"		
"offend"	"Verb"	"/ ә'fend /"	" to make sb feel upset because of sth you say or do that is rude or embarrassing"		" They'll be offended if you don't go to their wedding. "	"injure, offend, hurt, wound"		"Wenchuan earthquake"		"犯罪, 使.不愉快"		
"hurt"	"Verb"	"[hʒt; hә:t]"	"to cause physical pain to sb/yourself; to injure sb/yourself"		"He hurt his back playing squash. "	"injure, offend, hurt, wound"		"Wenchuan earthquake"		"刺痛, 傷害"		
"wound"	"Verb"	"[wu:nd]"	"to injure part of the body, especially by making a hole in the skin using a weapon:"		"She felt deeply wounded by his cruel remarks."	"injure, offend, hurt, wound"		"Wenchuan earthquake"		"擊傷"		
"get over"					"The smallest boy was unable to get  over the wall as fast as the others．"	"get over, cover, overcome, get well"		"Wenchuan earthquake"		"克服, 熬過"		
"overcome"	"Verb"		"to succeed in dealing with or controlling a problem that has been preventing you from achieving sth"		"She overcame injury to win the Olympic gold medal."	"get over, cover, overcome, get well"		"Wenchuan earthquake"		"戰勝, 克服"		
"get well"						"get over, cover, overcome, get well"		"Wenchuan earthquake"		"康復"		
"disaster"	"None"	"[di'zɑ:stә]"	"an unexpected event such as a very bad accident, a flood or a fire that kills a lot of people or causes a lot of damage"		"environmental disasters"	"disaster, calamity, cataclysm, catastrophe"		"Wenchuan earthquake"		"災難, 天災"		
"calamity"	"None"	"[kә'læmiti]"	"an event that causes great harm or damage"		"Sudan suffered a series of calamities during the 1980s."	"disaster, calamity, cataclysm, catastrophe"		"Wenchuan earthquake"		"災難, 不幸事件"		
"cata.clysm"	"None"	"/ 'kætәklizәm /"	"a sudden disaster or a violent event that causes change, for example a flood or a war"		"to survive the cataclysm of the Black Death"	"disaster, calamity, cataclysm, catastrophe"		"Wenchuan earthquake"		"災難, 大洪水, 地震, (社會政治的)大變動"		
"cata.strophe"	"None"	"/ kә'tæstrәfi /"	"a sudden disaster that causes many people to suffer"		"Early warnings of rising water levels prevented another major catastrophe."	"disaster, calamity, cataclysm, catastrophe"		"Wenchuan earthquake"		"大災難, 大禍"		
"against"	"Adj"	"[ә'genst]"	"not to the advantage or favour of sb/sth"		"The evidence is against him."	"against, competition, match, racing, contest"		"chess match with deep blue"		"反對…,抵抗"		
"com.pet.ition"	"None"	"/ kɔmpi'tiʃәn /"	"a situation in which people or organizations compete with each other for sth that not everyone can have"		" We are in competition with four other companies for the contract."	"against, competition, match, racing, contest"		"chess match with deep blue"		"競爭, 競賽"		
"match"	"Verb"	"[mætʃ]"	"a sports event where people or teams compete against each other"		"They are playing an important match against Liverpool on Saturday."	"against, competition, match, racing, contest"		"chess match with deep blue"		"比賽, 相比"		
"con.test"	"Verb"	"/ 'kɔntest /"	"a competition in which people try to win sth"		"Three candidates contested the leadership."	"against, competition, match, racing, contest"		"chess match with deep blue"		"論爭, 競賽"		
"sign.ification"	"None"	"[ˏsignifi'keiʃәn]"	"the exact meaning of sth, especially a word or phrase"			"signification, pregnant, important"		"chess match with deep blue"		"含義"		
"pre.gnant"	"Adj"	"['pregnәnt]"	"with sth (formal) full of a quality or feeling:"		"here was a pregnant pause before she replied."	"signification, pregnant, important"		"chess match with deep blue"		"懷孕的, 重要的"		
"beat"	"Verb"	"[bi:t]"	" sb (at sth) to defeat sb in a game or competition"		"He beat me at chess."	"beat, defeat"		"chess match with deep blue"		"打, 打敗"		
"defeat"	"Verb"	"[di'fi:t]"	"to win against sb in a war, competition, sports game, etc."		"He defeated the champion in three sets. "	"beat, defeat"		"chess match with deep blue"		"擊敗, 戰勝"		
"de.dic.ate"	"Verb"	"/ 'dedikeit /"	"yourself / sth to sth / to doing sth to give a lot of your time and effort to a particular activity or purpose because you think it is important"		"She dedicates herself to her work."	"dedicate, devote"		"Mandela"		"獻(身), 致力"		
"devote"	"Verb"	"[di'vәut]"	"devote yourself to sb/sth to give most of your time, energy, attention, etc. to sb/sth"		"I could only devote two hours a day to work on the project."	"dedicate, devote"		"Mandela"		"投入于, 獻身"		
"throughout"	"Adv"	"[θru(:)'aut]"	"during the whole period of time of sth:"		"The museum is open daily throughout the year."	"throughout, end-to-end, passim"		"Mandela"		"始終, 全部"		
"end-to-end"	"Adv"				"They travelled australia from end to end."	"throughout, end-to-end, passim"		"Mandela"				
"passim"	"Adv"	"['pæsim]"	"used to show that a person or subject is referred to many times in a book or article"			"throughout, end-to-end, passim"		"Mandela"		"各處, 到處"		
"apartheid"	"None"	"[ә'pɑ:t(h)eit]"	"the former political system in South Africa in which only white people had full political rights and other people, especially black people, were forced to live away from white people, go to separate schools, etc:"		"the pressures of life under apartheid"			"Mandela"		"種族隔離"		
"be though of as"					"Mandela is now thought of as a hero of freedom and equality around the world."			"Mandela"		"被认为是"		
"race"	"None"	"[reis]"	"one of the main groups that humans can be divided into according to their physical differences, for example the colour of their skin:"		"This custom is found in people of all races throughout the world."			"Mandela"		"種族"		
"estimate"	"Verb"	"['estimeit]"	"sth (at sth) to form an idea of the cost, size, value etc. of sth, but without calculating it exactly"			"estimate, appraise"		"CNN"		"估計,估算"		
"appraise"	"Verb"	"/ ә'preiz /"	"to consider or examine sb/sth and form an opinion about them or it"			"estimate, appraise"		"CNN"		"評估"		
"phil.anthrop.ist"	"None"	"[fi'lænθrәpist]"	"a rich person who helps the poor and those in need, especially by giving money:"					"CNN"		"慈善家"		
"everywhere"	"Adv"	"['evrihwєә]"	"in, to or at every place"		"I've looked everywhere. "	"everywhere, all over"		"Margaret Thatcher"		"各處, 到處"		
"all over"	"Adv"					"everywhere, all over"				"全部結束, 到處"		
"proud"	"Adj"	"[praud]"	" feeling pleased and satisfied about sth that you own or have done, or are connected with"	"(of sb/sth)|(to do sth) |(that ...)"	"He was proud of himself for not giving up."					" 得意的, 驕傲的"		
"unemployment"	"None"	"['ʌnim'plɔimәnt]"	"the fact of a number of people not having a job;"		"measures to help reduce / tackle unemployment "					"失業, 失業人數"		
"after all"	"Adv"				"Don't get discouraged by setbacks；we are new to the work after all．"					"畢竟"		
"accomplish"	"Verb"	"[ә'kɔmpliʃ]"	"o succeed in doing or completing sth "		"The first part of the plan has been safely accomplished."	"accomplish, complete, perform, achieve"				"完成, 達到"		
"com.ple.te"	"Adj"	"/ kәm'pli:t /"	"used when you are emphasizing sth, to mean 'to the greatest degree possible'"		"We were in complete agreement."	"accomplish, complete, perform, achieve"				"全部的, 完全的"		
"per.form"	"Verb"	"/ pә'fɔ:m /"	"to do sth, such as a piece of work, task or duty:"		" She performs an important role in our organization. "	"accomplish, complete, perform, achieve"				"履行, 执行"		
"achieve"	"Verb"	"/ ә'tʃi:v /"	"to succeed in reaching a particular goal, status or standard, especially by making an effort for a long time"		" They could not achieve their target of less than 3% inflation."	"accomplish, complete, perform, achieve"				"完成, 達到"		
"em.phas.ize"	"Verb"	"/ 'emfәsaiz /"	"to give special importance to sth:"		"His speech emphasized the importance of attracting industry to the town. "					"強調, 著重"		
"emphatic"	"Adj"	"/ im'fætik /"	"making it very clear what you mean by using forceful language"		"He was emphatic that he could not work with her."					"語勢強的, 顯著的"		
"eventually"	"Adv"	"[i'ventjuәli]"	"at the end of a period of time or a series of events"		"Our flight eventually left five hours late."	"eventually, ultimately"				"最後, 終於"		
"ultimately"	"Adv"	"['ʌltimәtli]"	"in the end; finally"		"Ultimately, you'll have to make the decision yourself. "	"eventually, ultimately"				"最後, 終於"		
"tough"	"Adj"	"[tʌf]"	"having or causing problems or difficulties"		"He faces the toughest test of his leadership so far."	"tough, tyranny"				"強硬的, 艱苦的"		
"tyranny"	"None"	"/ 'tirәni /"	"unfair or cruel use of power or authority"		"a victim of oppression and tyranny "	"tough, tyranny"				"暴政, 苛政"		
"authority"	"None"	"[ɔ:'θɔriti]"	"the power to give orders to people"		"She now has authority over the people who used to be her bosses"					"權威, 威信"		
"take action"								"Earth Day"		"採取行動, 提出訴訟"		
"pay off"					"They're usually paid off at weekends"					"還清(債務等)付清"		
"come off"	"Verb"				"The tennis finals will come off tomorrow"	"hold, come off, take place"				"離開, 舉行, 實現"		
"take place"	"Verb"				"Great changes have taken place in our country since liberation."	"hold, come off, take place"				"發生"		
"liquidate"	"Verb"	"['likwideit]"	"to close a business and sell everything it owns in order to pay debts"		"to liquidate assets"					"清算"		
"senator"	"None"	"/ 'senәtә /"	"a member of a senate"		"He has served as a Democratic senator for Texas since 1994."	"senator, representative"				"參議員"		
"representative"	"None"	"[ˏrepri'zentәtiv]"				"senator, representative"				" (美)眾議員"		
"within second"					"The history can be made within seconds."	"within second, immediately"		"Ayrton Senna racer"		"轉瞬間, 立刻"		
"legendary"	"Adj"	"/ 'ledʒәndәri /"	"very famous and talked about a lot by people, especially in a way that shows admiration"		"legendary heroes"					"傳說中的"		
"conside"	"Verb"	"[kәn'sidә]"	" sb/sth (as) sth to think of sb/sth in a particular way:"	"be considered to/as"	"He's generally considered to have the finest tenor voice in the country."					"被認為"		
"stadium"	"None"	"['steidiәm]"	"a large sports ground surrounded by rows of seats and usually other buildings"		"an all-seater stadium"	"stadium, concert, campaign"		"Fenway park"		"露天大型運動場"		
"concert"	"None"	"['kɔnsәt]"	"public performance of music"		"a concert of music by Bach"	"stadium, concert, campaign"				"音樂會"		
"campaign"	"None"	"[kæm'pein]"	"a series of planned activities that are intended to achieve a particular social, commercial or political aim"	"against / for sth"	"a campaign against ageism in the workplace "	"stadium, concert, campaign"				"(政治或商業性)活動, 競選運動"		
"ageism"	"None"	"['eidʒizәm]"	"unfair treatment of people because they are considered too old:"		"ageism in job advertisements"					"對老年人的歧視"		
"iceberg"	"None"	"['aisbәg]"	"an extremely large mass of ice floating in the sea:"		"The ship struck a hidden iceberg."			"Titanic"		"冰山, 冷冰冰的人"		
"right ahead"	"Adv"									"正前方"		
"soon after"	"Adv"				"I rang for a taxi and it arrived soon after."					"不久之後, 稍後"		
"incident"	"None"	"['insidәnt]"	"something that happens, especially sth unusual or unpleasant"		"His bad behaviour was just an isolated incident. * One particular incident sticks in my mind."					"事件, 事變"		
"suburb"	"None"	"['sʌbә:b]"	"an area where people live that is outside the centre of a city:"		"They live in the suburbs."			"Walt Disney"		"郊區"		
"resort to"	"Verb"				"Never resort to mean tricks to serve your end．"					"訴諸于, 採取"		
"model after"	"Adj"				"The two buildings are modeled after the same pattern."					"仿造, 模仿"		
"of all time"					"The Beatles created some of the best-loved songs of all time."	"of all time, ever"		"Beatles"		"無論何時"		
"feature"	"Verb"	"['fi:tʃә]"	" special article or programme about sb/sth"		"Many of the hotels featured in the brochure offer special deals for weekend breaks."					"放映"		
"rumor"	"Verb"	"['ru:mә]"			"I'm rather bored by the rumor."					"謠傳, 傳聞"		
"mention"	"Verb"	"['menʃәn]"	"to write or speak about sth/sb, especially without giving much information"	"to sb"	"Nobody mentioned anything to me about it. "					"提及, 說起"		
"come to mind"					" A number of possibilities come to mind."			"Eiffel Tower"		"想到"		
"inaugurate"	"Verb"	"[i'nɔ:gjureit]"	"to introduce a new public official or leader at a special ceremony"			"He will be inaugurated (as) President in January."				"舉行開幕"		
"stand for"	"Verb"				"I hate the woman and everything she stands for．"					"代表, 代替, 容忍"		
"tear down"	"Verb"				"They tore down the old building and built a new one．"					"扯下, 拆卸"		
"be known as"					"He was known as a reliable man."	"be known as, be known for, be famous for"		"Vincent van Gogh"		"被認為是"		
"be known for"						"be known as, be known for, be famous for"				"因...而眾所週知"		
"be famous for"					"Spain used to be famous for its strong armada."	"be known as, be known for, be famous for"				"因...而著名"		
"throne"	"None"	"[θrәun]"	"a special chair used by a king or queen to sit on at ceremonies"		"when Henry VIII was on the throne (= was king)"			"The One With Russ"		"王座, 君主"		
"mindless"	"Adj"	"['maindlis]"	"done or acting without thought and for no particular reason or purpose"		"mindless violence"			"The One With Russ"		"沒頭腦的"		
"adolescent"	"Adj"	"[ˏædәu'lesnt]"	"a young person who is developing from a child into an adult:"		"adolescents between the ages of 13 and 18 and the problems they face"			"The One With Russ"		"青春期的, 青春的"		
"dis.turb"	"Verb"	"/ dis'tә:b /"	"to interrupt sb when they are trying to work, sleep, etc"		"I'm sorry to disturb you, but can I talk to you for a moment? "			"The One With Russ"		"弄亂, 打亂"		
"unskilled"	"Adj"	"['ʌn'skild]"	"not having or needing special skills or training"		"unskilled manual workers"			"The One With Russ"		"不熟練的, 拙劣的"		
"portrayal"	"None"	"[pɔ:'treiәl]"	"the act of showing or describing sb/sth in a picture, play, book, etc."		"The article examines the portrayal of gay men in the media."			"The One With Russ"		"描畫, 描寫"		
"due"	"Adj"	"[dju:]"	"to sth/sb caused by sb/sth; because of sb/sth"		"The team's success was largely due to her efforts"			"The One With Russ"		"應得的, 應付的"		
"mediocre"	"Adj"	"[ˏmi:di'әukә]"	"not very good; of only average standard"		" I thought the play was only mediocre."			"The One With Russ"		"普普通通的"		
"vegetarian"	"None"	"[ˏvedʒi'tєәriәn]"	"a person who does not eat meat or fish"		"Are you vegetarian? "			"The One With Russ"		"素食者"		
"veterinary"	"None"	"['vetәrinәri]"	"connected with caring for the health of animals"		"veterinary medicine / science"			"The One With Russ"		"獸醫"		
"sullen"	"Adj"	"['sʌlәn]"	"silent and bad-tempered, either on a particular occasion or because it is part of your character"		"Bob looked pale and sullen. "	"sullen, pale"		"The One With Russ"		"沉沉不樂的,"		
"psych"	"Verb"	"[saik]"	"to prepare sb/yourself mentally for sth difficult or unpleasant"	"psych sb<->out (of sth)"	"I'd got myself all psyched up for the interview and then it was called off at the last minute."			"The One With Russ"		"使...激動"		
"mentally"	"Adv"	"['mentәli]"	"connected with or happening in the mind:"		"The baby is very mentally alert."					"精神上, 智力上,"		
"affection"	"None"	"/ ә'fekʃәn /"	"the feeling of liking or loving sb/sth very much and caring about them"	"(for sb/sth)"	"Mr Darcy's affection for his sister "			"The One With Russ"		"友愛, 愛情"		
"a.vert"	"Verb"	"[ә'vә:t]"	"to prevent sth bad or dangerous from happening"		"A disaster was narrowly averted."			"The One With Russ"		"轉移"		
"away from"								"The One With Russ"		"遠離"		
"lousy"	"Adj"	"['lauzi]"	"used to show that you feel annoyed or insulted because you do not think that sth is worth very much"		"All she bought me was this lousy T-shirt. "			"The One With Russ"		"污穢的, 噁心的"		
"annoy"	"Verb"	"[ә'nɔi]"	" to make sb slightly angry "		"His constant joking was beginning to annoy her."					"使苦惱, 騷擾"		
"insult"	"Verb"	"/ 'insʌlt /"	"to say or do sth that offends sb"		"I have never been so insulted in my life! "					"侮辱, 凌辱"		
"cabin"	"None"	"['kæbin]"	"a small room on a ship in which you live or sleep"		"a log cabin"			"The One With Russ"		"小屋, 船艙"		
"go through"					"he rain has gone through my overcoat"			"The One With Russ"		"經歷, 經受"		
"waffle"	"None"	"['wɔfl]"	"a crisp flat cake with a pattern of squares on both sides, often eaten with sweet sauce, cream, etc. on top"		"a waffle iron"			"The One With Russ"		"華夫餅乾, 無聊話"		
"flask"	"None"	"[flɑ:sk]"	"a bottle with a narrow top, used in scientific work for mixing or storing chemicals"		"a flask of tea "			"The One With Russ"		"瓶, 長頸瓶,"		
"amnesia"	"None"	"[æm'ni:zjә]"	"a medical condition in which sb partly or completely loses their memory"					"The One With Russ"		"健忘症"		
"get off"			"The bus driver got the passengers  off in time．"					"The One With Russ"		"下來, 脫下"		
"ecstatic"	"Adj"	"[eks'tætik]"	"very happy, excited and enthusiastic; feeling or showing great enthusiasm"		"Sally was ecstatic about her new job. "			"The One With Russ"		"狂喜的"		
"sort of"	"Adv"		"rather；to some extent"		"I sort of thought this would happen．"			"The One With Russ"		"有幾分地"		
"terrific"	"Adj"	"[tә'rifik]"	"excellent; wonderful"		"I feel absolutely terrific today!"			"The One With Russ"		"令人恐怖的"		
"sober"	"Adj"	"['sәubә]"			"I promised him that I'd stay sober tonight."			"The One With Russ"		"冷靜的"		
"porch"	"None"	"[pɔ:tʃ]"	"a small area at the entrance to a building, such as a house or a church, that is covered by a roof and often has walls"							"門廊, 走廊"		
"horn"	"None"	"[hɔ:n]"	"a device in a vehicle for making a loud sound as a warning or signal"		"to honk your car horn"					"角, 喇叭, 觸角"		
"hoof"	"None"	"[hu:f]"	"the hard part of the foot of some animals, for example horses"	"on the hoof"	"meat that is sold, transported, etc. on the hoof is sold, "					"蹄"		
"missionary"	"None"	"['miʃәnәri]"	"a person who is sent to a foreign country to teach people about Christianity:"		"Baptist missionaries"					"傳教士"		
"post"	"None"	"[pәust]"	"the place where sb, especially a soldier, does their job"		"a police / customs / military post "					"崗位,"		
"throng"	"Verb"	"[θrɔŋ]"	"a crowd of people"		"We pushed our way through the throng"					"群集"		
"threaten"	"Verb"	"['θretn]"	"sb (with sth) to say that you will cause trouble, hurt sb, etc. if you do not get what you want"		"They broke my windows and threatened me."					"恐嚇, 威脅"		
"council"	"None"	"['kaunsil]"	"a group of people who are elected to govern an area such as a city or county"		"a city / county / borough / district council "					"理事會"		
"atmosphere"	"None"	"['ætmәsfiә]"	"the feeling or mood that you have in a particular place or situation; a feeling between two people or in a group of people:"		"The hotel offers a friendly atmosphere and personal service."					"氣氛"		
"ferry"	"Verb"	"['feri]"	"a boat that carries people, vehicles and goods across a river or across a narrow part of the sea"		"the cross-channel ferry service"					"渡運"		
"gradual"	"Adj"	"['grædjuәl]"	"happening slowly over a long period; not sudden"		"a gradual change in the climate"					"逐漸的, 逐步的"		
"steep"	"Adj"	"[sti:p]"	"rising or falling quickly, not gradually:"		"a steep hill / slope / bank"					"陡峭的"		
"haul"	"Verb"	"[hɔ:l]"	"to pull sth/sb with a lot of effort"		"The wagons were hauled by horses. "					"拖, 拉"		
"lodge"	"noun"	"[lɔdʒ]"	"a small house in the country where people stay when they want to take part in some types of outdoor sport"		"He turned in between the lodge gates and guided the Porsche down the winding drive."			"Mackinac Island"		"山林小屋"		
"incentive"	"noun"	"[in'sentiv]"	"something that encourages you to do sth"	"for / to sb/sth"	"tax incentives to encourage savings"					"誘因"		
"fudge"	"Verb"	"[fʌdʒ]"	"sth to avoid giving clear and accurate information, or a clear answer"		"asked how long he was staying, but he fudged the answer. "					"捏造"		
"motivate"	"Verb"	"['mәutiveit]"	"to be the reason why sb does sth or behaves in a particular way"		"He is motivated entirely by self-interest."					"激發"		
"outlaw"	"None"	"['autlɔ:]"	" to make sth no longer legal"		"plans to outlaw the carrying of knives "			"Billy the Kid"		"歹徒, 逃犯"		
"sheriff"	"None"	"['ʃerif]"	"an elected officer responsible for keeping law and order in a county or town"					"Billy the Kid"		"郡治安官, 州長"		
"wanted"	"Adj"	"['wɔntid]"	"being searched for by the police, in connection with a crime"		"He is wanted by the police in connection with the deaths of two people."			"Billy the Kid"		"被通緝的"		
"pope"	"None"	"[pu:p]"	"the leader of the Roman Catholic Church, who is also the Bishop of Rome:"		"the election of a new pope "			"Crusade"		"羅馬教皇,"		
"turn into"	"Verb"		"enter by making a turn"		"There is a strange vehicle turning into our street．"			"Crusade"		"進入, (使)變成"		
"religious"	"Adj"	"[ri'lidʒәs]"	"connected with religion or with a particular religion"		"religious beliefs / faith"			"Crusade"		" 虔誠的, 宗教上的"		
"Holy Land"								"Crusade"		"聖地(巴勒斯坦)"		
"overtake"	"Verb"	"['әuvә'teik]"	" to go past a moving vehicle or person ahead of you because you are going faster than they are"		"He pulled out to overtake a truck. "			"Crusade"		"趕上, 追上"		
"proclaim"	"Verb"	"[prә'kleim]"	"to publicly and officially tell people about sth important"		"The president proclaimed a state of emergency. "			"Land on moon"		"宣佈, 聲明"		
"astronaut"	"None"	"['æstrәnɔ:t]"	"a person whose job involves travelling and working in a spacecraft"		"the astronauts gethered samples and left the moon."			"Land on moon"		"太空人, 宇航員"		
"explode"	"Verb"	"[iks'plәud]"	"to burst or make sth burst loudly and violently, causing damage"		"The space shuttle exploded soon after it was launched."			"Land on moon"		"爆炸, 爆發"		
"in preparation for"	"Adv"				"The boxser is training hard in prepational for his big match next month."			"Land on moon"		"為...準備"		
"travel through"					"It took them four day to travel through space after being launched from the U.S."			"Land on moon"		"經由...旅行"		
"precipitation"	"None"	"[priˏsipi'teiʃәn]"	"rain, snow, etc. that falls; the amount of this that falls"		"There is heavy precipitation in some parts of the country."			"CH7. Nouns"		"降水 [雨] 量"		
								"CH7. Nouns"				
								"CH7. Nouns"				
								"CH7. Nouns"				
